code,name,description,refreshed_at,from_date,to_date
BOM538547,Oasis Tradelink Ltd EOD Prices,End of Day prices and additional trading information for Oasis Tradelink Ltd EOD Prices.,14-05-2021 14:19,14-07-2014,30-01-2020
BOM538548,Vitan Agro Industries Ltd EOD Prices,End of Day prices and additional trading information for Vitan Agro Industries Ltd EOD Prices.,14-05-2021 14:19,17-07-2014,27-08-2018
BOM538556,Arman Holdings Ltd EOD Prices,End of Day prices and additional trading information for Arman Holdings Ltd EOD Prices.,14-05-2021 14:19,30-07-2014,23-03-2021
BOM538557,Sai Baba Investment And Commercial Enterprises Ltd EOD Prices,End of Day prices and additional trading information for Sai Baba Investment And Commercial Enterprises Ltd EOD Prices.,14-05-2021 14:19,21-07-2014,14-05-2021
BOM538562,Skipper Ltd EOD Prices,End of Day prices and additional trading information for Skipper Ltd EOD Prices.,14-05-2021 14:19,18-07-2014,14-05-2021
BOM538563,Adarsh Mercantile Ltd EOD Prices,End of Day prices and additional trading information for Adarsh Mercantile Ltd EOD Prices.,14-05-2021 14:19,14-10-2014,06-01-2021
BOM538564,James Warren Tea Ltd EOD Prices,End of Day prices and additional trading information for James Warren Tea Ltd EOD Prices.,14-05-2021 14:19,25-07-2014,14-05-2021
BOM538565,Vistar Amar Ltd EOD Prices,End of Day prices and additional trading information for Vistar Amar Ltd EOD Prices.,14-05-2021 14:19,04-12-2015,14-05-2021
BOM538566,Apollo Tricoat Tubes Ltd EOD Prices,End of Day prices and additional trading information for Apollo Tricoat Tubes Ltd EOD Prices.,14-05-2021 14:19,30-07-2014,14-05-2021
BOM538567,Gulf Oil Lubricants India Ltd EOD Prices,End of Day prices and additional trading information for Gulf Oil Lubricants India Ltd EOD Prices.,14-05-2021 14:19,31-07-2014,14-05-2021
BOM538568,Fruition Venture Ltd EOD Prices,End of Day prices and additional trading information for Fruition Venture Ltd EOD Prices.,14-05-2021 14:19,01-08-2014,12-05-2021
BOM538569,Triveni Enterprises Ltd EOD Prices,End of Day prices and additional trading information for Triveni Enterprises Ltd EOD Prices.,14-05-2021 14:19,01-08-2014,14-05-2021
BOM538570,Achal Investments Ltd EOD Prices,End of Day prices and additional trading information for Achal Investments Ltd EOD Prices.,14-05-2021 14:19,07-08-2014,12-02-2020
BOM538575,Solis Marketing Ltd EOD Prices,End of Day prices and additional trading information for Solis Marketing Ltd EOD Prices.,14-05-2021 14:19,11-08-2014,03-05-2021
BOM538576,Bhanderi Infracon Ltd EOD Prices,End of Day prices and additional trading information for Bhanderi Infracon Ltd EOD Prices.,14-05-2021 14:19,08-08-2014,03-05-2017
BOM538577,ICICI Prudential Growth Fund Series 2 (Regular Plan - Dividend Payout Option) EOD Prices,End of Day prices and additional trading information for ICICI Prudential Growth Fund Series 2 (Regular Plan - Dividend Payout Option) EOD Prices.,14-05-2021 14:19,28-06-2016,15-01-2018
BOM538578,Icici Prudential Growth Fund Series 2 (direct Plan - Dividend Payout Option) EOD Prices,End of Day prices and additional trading information for Icici Prudential Growth Fund Series 2 (direct Plan - Dividend Payout Option) EOD Prices.,,,
BOM538579,Trivikrama Industries Ltd EOD Prices,End of Day prices and additional trading information for Trivikrama Industries Ltd EOD Prices.,14-05-2021 14:19,12-08-2014,25-03-2021
BOM538591,Reliance Mutual Fund - Reliance Capital Builder Fund- Series A - Direct Plan Dividend Payout Optio EOD Prices,End of Day prices and additional trading information for Reliance Mutual Fund - Reliance Capital Builder Fund- Series A - Direct Plan Dividend Payout Optio EOD Prices.,,,
BOM538592,Reliance Mutual Fund- Reliance Capital Builder Fund- Series A - Direct Plan Growth Option EOD Prices,End of Day prices and additional trading information for Reliance Mutual Fund- Reliance Capital Builder Fund- Series A - Direct Plan Growth Option EOD Prices.,,,
BOM538593,Reliance Mutual Fund- Reliance Capital Builder Fund- Series A - Dividend Payout Option EOD Prices,End of Day prices and additional trading information for Reliance Mutual Fund- Reliance Capital Builder Fund- Series A - Dividend Payout Option EOD Prices.,,,
BOM538594,Reliance Mutual Fund- Reliance Capital Builder Fund- Series A - Growth Option EOD Prices,End of Day prices and additional trading information for Reliance Mutual Fund- Reliance Capital Builder Fund- Series A - Growth Option EOD Prices.,,,
