,Date,Open,High,Low,Close,Adj Close,Volume
2129,2005-09-05,7901.350098000001,7983.330078,7901.350098000001,7925.240234000001,7925.240234000001,10200.0
2130,2005-09-06,7931.419922,7976.399901999999,7914.410156,7946.779785,7946.779785,10000.0
2131,2005-09-08,7957.350098000001,8060.259765999999,7957.350098000001,8052.560059,8052.560059,10400.0
2132,2005-09-09,8060.890137,8077.740234000001,8015.75,8060.009765999999,8060.009765999999,8800.0
2133,2005-09-12,8072.990234000001,8142.810059,8072.990234000001,8138.419922,8138.419922,8200.0
2134,2005-09-13,8137.390137,8202.040039,8121.080078,8193.959961,8193.959961,9400.0
2135,2005-09-14,8207.530273,8260.009766,8144.319823999999,8189.47998,8189.47998,17400.0
2136,2005-09-15,8208.209961,8294.240234,8203.769531,8283.759766,8283.759766,11800.0
2137,2005-09-16,8296.879883,8388.799805,8268.599609,8380.959961,8380.959961,12800.0
2138,2005-09-19,8399.509766,8461.099609,8382.959961,8444.839844,8444.839844,10600.0
2139,2005-09-20,8412.709961,8515.5,8376.120117,8500.280273,8500.280273,15600.0
2140,2005-09-21,8499.330078,8521.75,8261.580078,8487.139648,8487.139648,26800.0
2141,2005-09-22,8480.620117,8519.599609,8186.129883,8221.639648,8221.639648,27200.0
2142,2005-09-23,8255.049805,8327.349609,8121.810059,8222.589844,8222.589844,20000.0
2143,2005-09-26,8280.05957,8487.360352,8280.05957,8478.910156,8478.910156,18600.0
2144,2005-09-27,8497.25,8585.759766,8444.980469,8525.519531,8525.519531,20000.0
2145,2005-09-28,8535.80957,8613.830078,8475.679688,8606.030273,8606.030273,18000.0
2146,2005-09-29,8588.469727,8722.169922,8588.469727,8650.169922,8650.169922,19800.0
2147,2005-09-30,8672.660156,8683.570313,8527.379883,8634.480469,8634.480469,23400.0
2148,2005-10-03,8662.990234,8725.75,8662.990234,8697.650391,8697.650391,16600.0
2149,2005-10-04,8706.700195,8808.830078,8706.700195,8799.959961,8799.959961,27400.0
2150,2005-10-05,8815.669922,8821.839844,8695.69043,8724.469727,8724.469727,23600.0
2151,2005-10-06,8693.200195,8693.200195,8508.429688,8528.700195,8528.700195,29400.0
2152,2005-10-07,8528.700195,8586.429688,8410.69043,8491.55957,8491.55957,25000.0
2153,2005-10-10,8516.44043,8564.849609,8465.900391,8483.860352,8483.860352,16200.0
2154,2005-10-11,8547.950195,8563.849609,8381.959961,8540.55957,8540.55957,21200.0
2155,2005-10-13,8520.480469,8547.799805,8346.320313,8376.900391,8376.900391,24200.0
2156,2005-10-14,8389.450195,8396.419922,8180.100098000001,8201.730469,8201.730469,25200.0
2157,2005-10-17,8230.469727,8254.799805,8131.77002,8202.620117,8202.620117,21800.0
2158,2005-10-18,8232.259766,8317.379883,8067.910156,8122.25,8122.25,19200.0
2159,2005-10-19,8066.060059,8084.790039,7922.890137,7971.060059,7971.060059,26400.0
2160,2005-10-20,8075.819823999999,8134.830078,7838.02002,7935.120117,7935.120117,27200.0
2161,2005-10-21,7930.5,8080.77002,7901.140137,8068.950195,8068.950195,25600.0
2162,2005-10-24,8096.490234000001,8126.27002,7898.410156,7920.799805,7920.799805,21400.0
2163,2005-10-25,7974.169922,8074.080078,7921.439941,7991.740234000001,7991.740234000001,22200.0
2164,2005-10-26,7996.919922,8047.859863,7951.049805,7974.689941,7974.689941,15800.0
2165,2005-10-27,7989.350098000001,7994.819823999999,7766.990234000001,7798.490234000001,7798.490234000001,26800.0
2166,2005-10-28,7795.029785,7795.029785,7656.149901999999,7685.640137,7685.640137,21800.0
2167,2005-10-31,7717.069823999999,7905.700195,7717.069823999999,7892.319823999999,7892.319823999999,15600.0
2168,2005-11-02,7953.279785,8086.839844,7891.22998,8072.75,8072.75,16600.0
2170,2005-11-07,8083.589844,8216.419922,8049.649901999999,8206.830078,8206.830078,27200.0
2171,2005-11-08,8218.820313,8353.099609,8213.75,8317.799805,8317.799805,24000.0
2172,2005-11-09,8332.009766,8405.459961,8269.089844,8308.780273,8308.780273,19400.0
2173,2005-11-10,8314.389648,8342.530273,8190.990234000001,8308.929688,8308.929688,1200.0
2174,2005-11-11,8332.94043,8483.679688,8332.94043,8471.040039,8471.040039,20200.0
2175,2005-11-14,8503.700195,8569.910156,8416.889648,8494.290039,8494.290039,16200.0
2176,2005-11-16,8511.099609,8606.950195,8503.0,8595.919922,8595.919922,15000.0
2177,2005-11-17,8611.790039,8662.570313,8547.339844,8649.519531,8649.519531,17000.0
2178,2005-11-18,8669.839844,8739.570313,8661.599609,8686.650391,8686.650391,22400.0
2179,2005-11-21,8699.269531,8713.099609,8586.919922,8610.740234,8610.740234,21400.0
2180,2005-11-22,8602.820313,8664.459961,8518.179688,8534.969727,8534.969727,19600.0
2181,2005-11-23,8542.610352,8649.679688,8537.480469,8638.339844,8638.339844,19600.0
2182,2005-11-24,8655.139648,8765.709961,8655.139648,8744.040039,8744.040039,19800.0
2183,2005-11-25,8760.700195,8863.929688,8760.700195,8853.209961,8853.209961,19000.0
2184,2005-11-28,8905.679688,9005.629883,8905.679688,8994.94043,8994.94043,18800.0
2185,2005-11-29,9000.650391,9000.650391,8875.820313,8931.160156,8931.160156,19400.0
2186,2005-11-30,8962.919922,9033.990234,8768.799805,8788.80957,8788.80957,18200.0
2187,2005-12-01,8813.820313,8960.110352,8769.55957,8944.780273,8944.780273,18200.0
2188,2005-12-02,9010.580078,9057.969727,8943.700195,8961.610352,8961.610352,18400.0
2189,2005-12-05,8965.830078,9010.730469,8803.370117,8823.30957,8823.30957,14400.0
2190,2005-12-06,8827.0,8915.120117,8783.929688,8815.530273,8815.530273,14000.0
2191,2005-12-07,8825.929688,8915.879883,8825.929688,8895.80957,8895.80957,13600.0
2192,2005-12-08,8918.629883,8931.580078,8826.389648,8906.30957,8906.30957,15400.0
2193,2005-12-09,8907.719727,9080.759766,8907.719727,9067.280273,9067.280273,20200.0
2194,2005-12-12,9092.650391,9175.599609,9092.650391,9133.669922,9133.669922,18600.0
2195,2005-12-13,9160.759766,9274.19043,9111.030273,9263.900391,9263.900391,25200.0
2196,2005-12-14,9264.990234,9309.009766,9199.849609,9241.759766,9241.759766,24400.0
2197,2005-12-15,9259.780273,9298.280273,9117.259766,9170.400391,9170.400391,18600.0
2198,2005-12-16,9191.629883,9290.30957,9137.160156,9284.459961,9284.459961,20000.0
2199,2005-12-19,9263.320313,9402.679688,9263.320313,9394.269531,9394.269531,101000.0
2200,2005-12-20,9400.25,9427.570313,9310.629883,9346.240234,9346.240234,22000.0
2201,2005-12-21,9349.240234,9423.25,9272.759766,9339.169922,9339.169922,18800.0
2202,2005-12-22,9398.620117,9413.700195,9328.759766,9372.299805,9372.299805,36200.0
2203,2005-12-23,9417.290039,9442.980469,9237.94043,9256.910156,9256.910156,15800.0
2204,2005-12-26,9254.089844,9262.480469,9050.509766,9085.889648,9085.889648,15400.0
2205,2005-12-27,9071.25,9297.070313,9020.799805,9283.160156,9283.160156,14600.0
2206,2005-12-28,9292.179688,9350.820313,9207.269531,9257.509766,9257.509766,19600.0
2207,2005-12-29,9272.629883,9338.110352,9271.629883,9323.25,9323.25,14200.0
2208,2005-12-30,9339.320313,9427.230469,9311.530273,9397.929688,9397.929688,15200.0
2209,2006-01-02,9422.490234,9457.089844,9366.089844,9390.139648,9390.139648,14000.0
2210,2006-01-03,9401.830078,9546.780273,9390.790039,9539.370117,9539.370117,13200.0
2211,2006-01-04,9523.290039,9664.94043,9523.290039,9648.080078,9648.080078,21400.0
2212,2006-01-05,9638.269531,9679.719727,9571.30957,9617.740234,9617.740234,19200.0
2213,2006-01-06,9635.089844,9680.919922,9535.660156,9640.290039,9640.290039,16000.0
2214,2006-01-09,9643.919922,9689.679688,9539.629883,9583.450195,9583.450195,15600.0
2215,2006-01-10,9584.469727,9600.080078,9418.629883,9445.299805,9445.299805,24600.0
2216,2006-01-12,9334.129883,9435.259766,9303.709961,9380.879883,9380.879883,25400.0
2217,2006-01-13,9425.070313,9471.889648,9362.25,9374.19043,9374.19043,15600.0
2218,2006-01-16,9382.860352,9397.620117,9287.089844,9311.19043,9311.19043,17200.0
2219,2006-01-17,9317.990234,9421.519531,9289.230469,9314.129883,9314.129883,27200.0
2220,2006-01-18,9293.799805,9302.780273,9158.44043,9237.530273,9237.530273,45800.0
2221,2006-01-19,9271.629883,9473.860352,9271.629883,9449.839844,9449.839844,19200.0
2222,2006-01-20,9493.389648,9556.19043,9466.099609,9520.959961,9520.959961,17800.0
2223,2006-01-23,9467.55957,9503.400391,9432.929688,9464.900391,9464.900391,16200.0
2224,2006-01-24,9503.419922,9574.139648,9503.419922,9549.919922,9549.919922,16800.0
2225,2006-01-25,9580.299805,9714.480469,9580.299805,9685.740234,9685.740234,21600.0
2226,2006-01-27,9764.259766,9883.950195,9764.259766,9870.790039,9870.790039,18200.0
